"","S942","S955","S952","S962","S958","T895","T909","T911","T913","S956","T902","T906","T908","S959","S960","T894","T904","T907","T898","T901","S945","S951","T912","T910","T905","T903","S941","S954","T918","S957","S946","T893","T919","S944","T914","S947","T916","T900","T917","T897","T915"
"PLEKHF2",1,3,8,0,236,3,8,26,94,22,21,35,2,120,34,60,0,87,2,2,9,38,0,7,21,20,105,70,20,20,4,17,24,36,2,15,132,4,0,78,0
"A2M",2,0,95,2,1129,0,3,84,2564,1908,2567,2642,41,1435,92,9689,62,11828,6,1316,55,24,5,144,478,6,1265,25276,43,713,15,211,370,152,36,411,7309,42,58,1177,86
"ARL4D",0,1,21,1,69,0,0,10,139,62,175,0,0,107,22,120,0,224,0,53,14,0,0,0,34,10,9,16,19,1,3,21,8,12,0,0,3,5,0,6,0
"AC127496.1",0,0,0,0,85,4,0,0,27,45,65,24,0,13,66,147,0,68,3,1,0,0,0,1,5,4,102,38,0,14,4,34,26,0,0,31,73,4,0,77,0
"DOK7",0,6,8,7,36,0,0,0,24,98,7,45,2,85,8,43,0,59,3,0,5,2,0,0,0,7,48,45,3,25,18,36,13,12,0,0,57,18,2,43,0
"LRRN1",0,15,20,4,103,14,0,61,12,24,15,0,2,23,641,92,22,94,6,1,10,24,0,15,11,52,92,26,42,9,31,24,51,53,0,6,1,31,0,57,14
"UBE2O",0,2,59,10,211,9,10,2,572,120,173,278,4,400,137,349,4,294,0,24,27,76,8,14,142,35,326,542,33,115,24,66,146,66,1,67,376,24,1,275,1
"ORAI3",0,0,11,0,74,0,10,22,103,27,58,28,1,47,12,17,38,39,1,24,12,51,0,0,25,0,244,117,2,78,13,65,17,1,1,42,229,15,0,236,0
"KLHL38",0,0,0,4,1,0,0,1,0,9,107,0,0,0,14,49,0,17,8,0,17,0,0,0,2,24,9,8,10,17,1,0,0,48,0,14,2,1,0,3,26
"UNC119B",1,3,16,1,217,0,4,6,538,190,109,156,1,565,69,307,15,209,0,60,14,61,16,7,29,5,727,647,52,67,16,115,126,118,0,107,673,17,5,689,8
"DENND2C",0,20,33,4,203,7,0,9,63,43,105,10,9,92,28,134,0,70,4,29,63,16,0,1,12,38,230,64,108,51,21,11,41,116,10,1,88,25,1,77,2
"PLEKHD1",0,0,8,4,17,0,0,0,3,0,28,0,4,5,0,0,14,4,0,0,17,0,0,0,0,1,15,0,26,10,31,0,2,99,0,1,0,31,0,7,0
"ASCL3",0,0,0,0,2,0,0,0,6,1,10,0,0,6,1,4,0,2,0,0,12,0,0,0,0,0,17,8,2,1,1,0,1,0,0,0,4,8,0,6,0
"TUBB6",2,71,40,6,753,25,3,5,1556,373,338,282,12,1274,223,428,33,1363,6,105,108,15,13,96,625,144,465,551,276,231,32,126,172,168,90,19,271,46,2,222,1
"LYSMD3",0,4,19,1,171,2,0,0,392,112,93,0,10,571,36,164,25,106,2,36,21,2,0,1,40,14,265,107,25,26,13,28,9,42,2,9,162,17,0,217,0
"AMIGO3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"B3GALT6",0,0,19,13,154,6,2,4,292,102,70,90,1,160,90,75,49,186,0,17,9,27,2,0,115,6,158,97,13,35,14,31,175,13,9,2,240,14,0,142,0
"ZNF613",1,0,12,0,92,2,0,1,53,19,45,0,9,42,6,33,34,25,0,19,20,1,1,0,2,11,79,58,31,3,5,10,5,2,1,0,59,13,0,48,28
"C11orf16",0,0,24,1,8,0,0,0,9,3,21,0,0,13,3,14,0,9,0,2,26,0,12,0,0,3,15,29,17,2,17,0,0,12,0,6,21,27,0,1,1
"CHDC2",0,0,10,0,3,0,0,0,0,0,25,0,5,0,2,0,0,0,1,0,1,0,1,0,0,0,22,1,6,0,12,0,0,41,0,0,0,12,0,8,0
"TMPRSS7",0,0,19,0,0,0,0,7,0,0,31,0,11,4,0,0,0,0,0,1,8,0,5,0,1,0,25,0,18,1,28,0,0,46,0,0,3,28,0,0,0
"NUPR1",0,5,32,4,120,1,1,16,122,94,79,166,0,33,66,133,1,174,1,35,7,14,6,35,63,8,280,290,11,59,10,66,76,89,6,3,367,10,0,251,0
"JAKMIP2",0,0,29,0,5,0,0,1,24,66,152,1,13,6,4,28,0,38,0,0,30,23,6,0,4,13,284,123,23,3,53,8,22,114,4,10,185,53,0,217,0
"MBLAC2",1,0,9,1,53,0,0,1,152,33,65,1,8,89,15,32,0,32,4,14,15,0,0,0,4,10,102,49,11,30,17,1,6,49,17,0,52,17,0,47,10
"TPRN",0,1,13,5,131,1,0,22,134,50,53,167,1,252,84,79,54,81,1,5,19,12,12,9,117,2,116,75,4,27,7,54,52,72,0,20,80,7,0,109,0
"KCNE1L",0,0,6,0,4,0,0,0,12,2,3,0,0,2,0,8,0,2,0,0,0,0,0,0,6,0,6,2,0,0,1,0,7,9,0,0,2,1,0,0,0
"ZNF683",0,0,43,0,0,0,0,29,14,0,28,0,1,14,0,10,0,1,0,0,4,0,0,24,0,6,35,3,9,15,7,0,3,20,0,0,7,7,0,0,3
"SLC35A4",0,0,63,0,528,2,0,7,392,126,230,110,10,725,213,381,2,372,4,39,20,77,0,0,196,23,732,947,14,375,45,113,73,45,11,38,1094,45,2,680,29
"AIM1L",0,14,44,3,3,2,0,0,3,0,54,1,8,8,0,13,0,13,0,5,32,0,0,2,0,50,60,4,42,8,48,2,2,40,13,0,9,52,0,0,10
"IP6K1",2,6,38,0,499,0,0,2,460,309,118,77,6,316,342,416,52,431,6,93,15,108,2,2,295,10,770,877,26,128,37,196,162,170,7,105,844,51,0,708,0
"SSNA1",0,2,15,0,70,1,0,2,182,26,50,139,0,180,71,134,32,126,4,6,9,0,7,17,98,3,109,162,7,18,0,8,69,8,0,5,44,2,0,86,0
"CSTF3",0,5,5,0,223,4,1,7,282,102,67,14,17,340,103,140,28,106,0,38,41,6,2,0,49,20,304,211,33,15,30,18,25,42,1,10,162,37,0,262,0
"YES1",0,16,59,3,607,6,2,20,1359,206,169,181,17,966,52,125,0,167,6,57,30,26,5,17,99,51,410,383,82,133,28,72,217,86,6,51,288,39,0,321,2
"CHMP6",0,1,38,2,142,0,0,0,163,71,72,211,2,79,62,192,32,147,0,8,9,16,0,0,48,8,210,250,19,111,14,68,139,18,0,50,261,14,0,193,0
"DLEU1",0,2,15,4,139,0,0,0,164,25,39,42,5,87,99,101,0,116,3,22,70,16,0,0,15,37,239,98,99,34,30,14,29,54,4,18,94,32,0,191,0
"UFSP1",2,0,4,0,22,0,0,0,36,11,1,20,0,0,8,27,0,21,0,0,5,0,0,0,1,0,0,9,5,2,11,12,10,0,14,0,10,11,0,0,0
"AL445665.1",0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MC5R",0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,2,0,1,0,1,0,0,0,20,0,0,1,0,0,0
"TMEM39A",0,4,14,3,512,0,1,4,385,162,215,42,13,443,124,240,1,224,11,102,39,26,0,1,208,23,459,300,39,10,13,52,71,81,2,40,411,15,5,399,1
"TCP11L1",0,1,23,0,334,1,0,30,315,127,141,30,2,310,153,264,0,199,3,109,55,35,23,0,169,10,350,200,83,19,22,54,14,45,12,40,266,22,2,290,1
"GPX2",1,1,18,4,140,5,0,0,59,51,52,0,0,47,50,105,0,95,0,12,15,6,0,6,33,12,61,2,5,13,25,30,6,45,0,7,28,25,0,55,18
"CCDC57",10,6,55,25,647,0,0,15,785,687,387,286,1,812,226,660,94,623,13,102,50,223,0,46,163,11,1128,1485,33,272,71,153,259,85,2,188,680,81,1,1046,4
"HSF5",0,0,10,0,0,0,0,0,0,0,18,0,1,1,0,1,0,0,0,0,16,12,0,0,0,35,50,2,35,0,19,0,0,79,0,2,1,19,0,4,16
"FOXG1",0,0,3,0,4,0,0,0,155,0,28,0,0,2,0,4,0,599,4,0,4,0,36,22,0,0,15,0,10,59,16,0,56,3,0,0,0,16,0,0,0
"SPHK1",0,7,39,6,111,10,14,55,745,5,124,11,5,464,406,328,0,660,3,26,17,8,22,18,20,31,61,51,24,9,40,1,51,184,5,1,31,43,0,14,0
"BNIP3",0,0,9,1,74,3,0,1,196,54,28,85,5,82,57,58,0,68,0,5,15,0,1,1,14,12,145,152,27,14,3,20,12,158,3,40,145,3,0,123,12
"ENTHD1",0,0,12,1,0,0,0,27,0,0,19,0,3,0,0,0,0,0,2,0,18,0,0,0,0,0,25,0,12,6,14,0,0,4,0,0,0,14,0,0,0
"MYPOP",4,0,4,0,119,0,0,1,95,28,26,22,0,96,102,54,4,101,2,0,3,26,0,0,18,0,88,104,2,30,4,24,14,16,0,26,124,4,0,85,0
"CIDEA",0,0,17,6,3,0,0,0,2,0,21,0,2,0,10,3,0,10,0,0,2,0,0,0,0,6,8,0,10,0,12,0,0,18,12,0,0,12,0,0,0
"OR11H4",0,0,2,0,9,0,0,0,1,0,4,0,4,1,0,1,0,1,0,0,5,0,0,0,0,1,16,3,11,0,16,0,0,0,0,0,1,16,0,0,8
"OR4D11",0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"LRRTM4",0,0,17,0,1,0,0,0,0,1,87,5,8,0,0,8,0,1,0,0,15,0,0,0,0,1,57,0,45,1,17,0,4,22,47,0,0,19,0,0,0
"ATAD5",4,0,49,0,251,0,0,2,342,175,133,114,2,441,43,331,0,280,9,31,65,14,4,0,44,0,170,117,49,79,51,12,20,92,0,4,76,65,1,140,17
"SMIM19",2,1,2,0,192,0,0,2,132,62,113,71,0,147,44,206,18,181,0,33,12,16,0,28,19,1,101,118,30,25,18,12,62,61,1,14,172,18,0,78,6
"OR11H6",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,1,2,4,0,13,0,0,0,0,0,4,13,0,0,0
"ZNF404",0,0,18,5,79,0,0,0,93,29,23,0,14,53,0,35,0,38,0,18,12,0,0,0,14,6,121,28,6,6,12,26,0,0,0,26,5,12,0,104,0
"RTTN",1,2,38,0,301,1,0,38,429,228,273,126,5,232,78,91,19,277,4,47,56,10,10,45,104,12,369,273,95,88,29,7,94,84,23,13,149,48,0,253,0
"CTAGE15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4K17",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"OR10H4",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,16,0,8,0,2,0,0,0,16,0,0,2,0,0,32
"C10orf111",0,0,4,0,8,0,0,0,0,5,14,0,0,1,0,0,0,0,0,0,28,0,0,8,0,4,28,2,12,10,8,0,0,42,0,0,1,8,0,2,0
"OR51B6",0,0,0,0,2,0,0,0,0,0,1,0,6,1,0,4,0,0,0,20,12,0,0,0,0,0,32,6,10,4,0,0,1,18,0,1,0,0,0,28,0
"ACBD7",0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,2,2,4,0,18,1,0,0,2,4,0,0,12
"OR4L1",0,0,12,0,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,5,4,2,0,0,0,0,0,0,2,0,6,0
"ANAPC2",0,2,50,5,328,0,1,4,341,165,126,67,0,704,368,338,18,283,6,26,43,113,12,38,276,2,340,643,24,116,13,68,223,44,0,45,200,14,1,304,0
"OR4K13",0,0,13,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,8,0,4,0,0,0,0,10,0,0,0,0,0,0,0
"HMGB4",0,8,0,4,1,0,0,6,28,1,16,0,1,4,82,1,0,8,0,0,7,0,0,0,0,8,4,0,4,0,20,0,0,16,0,0,1,20,0,0,8
"ZBTB8OS",1,2,38,0,199,3,0,5,236,80,131,54,3,258,141,245,12,86,0,56,10,29,0,0,41,9,249,97,30,34,45,20,60,7,9,4,155,45,0,217,1
"OR4F21",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35G1",0,1,1,0,29,2,0,0,21,24,61,1,5,76,0,28,0,21,8,26,37,0,0,0,2,23,271,205,39,6,8,21,20,11,10,0,198,8,0,222,6
"SLC25A53",0,0,14,0,54,0,0,0,53,9,65,52,0,31,4,84,0,38,7,38,30,4,0,0,6,0,85,54,26,2,30,16,20,66,34,32,29,30,0,54,20
"OR4K5",0,0,1,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,19,0,9,0,9,0,0,16,0,0,0,9,0,0,8
"ZNF135",0,1,38,5,311,4,0,17,432,403,31,492,6,627,152,40,1,139,9,71,29,318,0,82,20,19,754,943,36,313,44,207,278,62,0,280,718,44,0,733,0
"OR4N2",0,0,6,0,0,0,0,1,0,0,8,0,7,0,0,0,0,1,0,0,30,0,8,0,0,0,5,0,6,4,2,0,0,22,0,0,0,2,0,0,4
"OR4M1",0,0,8,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,7,0,0,4,0,0,0,10,0,0,1,0,0,0,8
"FOXR1",0,0,4,5,14,0,0,0,0,6,6,0,4,2,0,11,0,6,0,0,1,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0
"COX8A",1,15,15,4,99,3,0,3,234,29,47,71,4,159,63,172,3,211,0,27,12,16,4,4,132,19,203,329,24,61,7,135,71,58,12,65,326,10,0,177,1
"AC110781.3",0,0,61,0,145,0,0,0,101,44,22,0,0,80,77,28,52,46,8,0,9,19,0,21,4,0,43,50,9,2,24,17,44,74,0,18,53,24,1,41,0
"TAC4",4,0,9,0,67,0,0,0,19,73,34,0,4,45,12,134,0,46,0,0,10,16,5,0,5,6,63,53,19,38,4,0,18,16,0,0,47,4,0,59,0
"ZSCAN2",0,2,29,1,148,10,4,39,78,77,107,19,6,114,83,99,0,81,0,16,11,33,0,0,32,23,123,204,10,23,52,60,29,58,28,6,121,52,0,88,1
"PRR18",0,0,22,0,20,0,0,0,11,0,0,59,0,0,0,15,0,6,0,0,0,0,0,0,0,0,8,1,16,1,19,0,10,10,0,0,0,19,1,0,2
"B3GNT4",0,0,6,0,120,0,0,2,238,51,56,155,0,278,58,89,0,118,5,50,24,16,0,0,38,10,124,270,20,50,22,94,35,107,0,10,186,22,0,114,16
"CDC26",0,0,6,0,30,0,0,0,75,27,23,1,1,45,8,61,6,8,2,0,2,0,2,4,27,1,35,29,10,1,0,1,9,18,0,0,12,0,0,29,0
"HSD11B2",0,0,19,0,58,0,0,0,10,22,6,60,0,21,2,11,2,6,0,0,5,6,4,10,30,0,10,19,2,1,4,16,38,0,6,0,28,4,0,8,0
"CRLF3",0,1,16,0,348,5,1,3,384,459,113,145,3,588,107,471,60,490,1,98,12,176,0,28,58,21,644,373,46,201,15,140,55,31,0,84,279,21,0,605,1
"RNPEP",0,7,14,7,417,8,5,38,427,189,100,285,13,112,55,254,21,210,7,55,31,26,0,1,234,26,308,383,34,81,19,46,129,82,14,105,335,21,9,272,1
"EID2",1,1,30,0,69,0,6,0,69,6,25,14,4,69,28,34,0,54,0,2,17,0,0,4,0,3,57,36,4,8,18,4,20,14,4,10,44,18,0,46,0
"DMRTA1",0,0,13,0,2,0,0,0,14,4,27,5,12,5,0,101,0,22,2,12,10,12,3,0,0,0,25,16,22,9,6,0,1,48,0,0,1,6,0,14,0
"EID2B",0,0,6,1,66,0,0,0,34,22,42,46,0,45,16,51,0,32,0,8,0,8,1,0,10,10,60,44,16,7,2,2,5,0,0,3,13,2,0,49,0
"GJC3",0,0,0,0,23,0,0,0,0,2,24,1,0,0,0,7,0,2,0,0,6,0,0,0,0,6,2,0,5,0,19,0,0,15,0,0,5,19,0,1,0
"RIMS2",0,0,1,0,10,0,4,1,13,115,150,298,19,6,74,179,0,92,16,0,69,0,3,3,0,12,177,0,113,0,33,0,55,167,0,0,4,36,0,0,12
"KCMF1",0,15,36,0,491,4,0,21,403,215,157,143,4,378,113,342,1,152,1,97,61,65,3,11,130,43,454,389,83,97,16,63,154,121,16,35,273,16,0,350,6
"DNAJC30",0,0,8,4,172,0,6,2,208,129,59,175,7,41,49,191,16,93,0,24,7,20,0,16,39,14,174,53,5,50,23,28,42,17,11,16,138,33,0,171,0
"SPRYD4",0,16,2,0,197,0,0,0,74,58,58,43,0,55,39,98,0,98,0,45,2,38,10,0,6,18,173,124,18,21,7,8,19,2,1,20,113,8,0,155,0
"VPS37D",0,0,20,0,49,0,0,0,9,21,21,110,1,0,2,27,10,4,0,0,1,16,0,0,4,7,17,0,0,8,4,0,18,3,0,0,19,4,0,12,0
"CLEC14A",0,0,6,10,66,16,0,1,65,47,65,42,1,171,0,37,0,72,0,10,4,0,0,0,20,17,80,144,0,6,22,16,15,23,0,0,68,22,0,71,0
"SYNE3",2,0,13,0,679,0,0,1,84,20,169,40,8,202,55,163,0,519,6,74,55,0,0,12,140,33,86,64,21,6,10,0,76,51,0,6,118,16,0,46,11
"CLK2",0,3,58,2,515,0,1,2,294,251,156,45,8,324,127,453,22,656,6,115,26,124,0,13,57,5,401,620,45,125,44,58,134,24,1,40,328,46,7,389,20
"LPCAT4",0,1,33,3,107,1,0,1,77,104,81,128,8,100,140,89,0,168,4,27,27,2,0,10,55,9,114,131,33,32,22,36,46,73,24,25,94,22,0,79,0
"SLCO3A1",0,2,109,3,734,8,0,2,268,334,180,282,3,211,107,435,17,449,13,36,45,38,0,1,228,21,211,701,36,24,114,20,82,48,1,61,112,126,1,156,0
"ZNF575",0,0,11,1,64,0,0,1,58,51,35,18,0,86,19,78,0,109,3,14,16,36,0,0,37,8,103,66,31,10,39,34,24,18,0,15,99,39,0,89,14
"WDR25",0,0,21,0,74,4,0,0,82,41,30,0,8,64,81,61,0,105,0,0,21,8,2,0,4,6,47,47,29,19,19,0,23,44,0,0,53,19,0,17,6
"CCDC101",0,0,23,0,45,0,2,0,59,67,38,5,7,27,10,45,0,93,3,22,11,18,4,0,13,4,43,124,15,32,3,14,20,41,0,1,72,7,2,29,0
"PLA2G16",0,0,59,0,130,0,0,0,31,2,89,9,2,27,2,182,2,181,1,89,8,0,0,0,97,1,251,213,38,29,18,80,12,72,0,36,236,36,1,229,1
"DIRAS1",0,0,0,0,22,0,0,56,41,112,24,578,3,0,21,465,0,198,6,14,2,4,0,1,263,18,12,0,13,10,17,3,65,28,10,6,7,17,0,0,16
"OR5AN1",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0
"AL033381.1",0,0,0,0,3,0,0,1,1,0,33,0,0,1,0,6,0,3,0,14,20,0,6,0,0,15,19,0,5,4,0,0,3,24,0,0,0,12,0,0,0
"PHLDB3",0,3,5,3,110,3,0,0,44,22,112,48,20,69,39,48,16,147,1,2,38,35,0,3,73,21,138,337,25,79,26,31,32,43,0,42,128,26,1,104,6
"PRR15",0,0,22,0,1,0,2,0,1,2,10,0,4,4,0,3,0,1,0,2,10,26,1,0,0,2,74,8,16,2,0,0,0,31,4,0,12,0,0,58,0
"GNG7",0,0,10,0,44,16,0,0,17,138,52,462,2,47,4,104,14,41,6,0,18,16,0,0,29,16,174,112,35,82,29,58,72,47,0,23,195,33,0,138,6
"OR4C5",0,0,19,0,0,0,0,0,0,0,10,0,6,0,10,0,0,0,6,0,16,2,0,0,54,0,9,0,9,0,23,0,0,22,0,0,0,23,0,1,0
"KIAA2018",4,1,128,12,657,2,0,14,487,366,258,70,19,1108,146,525,0,488,5,275,50,40,8,3,145,34,1247,537,108,64,78,119,60,107,2,86,1102,82,1,1144,25
"OR4C3",0,0,14,0,0,0,0,0,1,0,20,0,6,0,0,0,0,0,0,0,10,0,0,0,120,0,5,0,5,1,12,0,0,12,0,0,0,12,0,0,0
"OR4S1",0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,39,0,0,0,2,0,0,0,0,14,8,0,0,0,0,0,0
"CNTD1",0,0,40,1,107,0,0,2,164,91,142,4,2,171,45,159,0,96,0,12,9,4,0,0,23,0,230,80,29,16,23,35,12,21,0,10,134,23,0,195,0
"DCAF4L2",0,0,0,0,0,0,0,52,0,0,27,0,6,1,0,2,0,2,4,0,18,0,0,0,0,0,40,0,18,0,12,0,5,33,0,0,0,12,0,0,0
"OR4X1",0,0,12,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,22,0,0,0,3,0,0,0
"CNBD1",0,0,5,0,0,0,0,0,0,6,29,0,2,6,10,0,0,6,0,0,5,0,1,12,0,3,55,1,35,0,2,0,12,23,0,0,0,2,0,0,2
"CTD-2368P22.1",0,0,13,7,443,1,0,38,270,192,113,111,4,504,214,38,0,217,5,120,35,203,21,70,57,1,539,162,69,153,17,38,97,68,24,103,209,17,1,499,0
"KBTBD11",0,0,33,0,124,0,0,0,264,13,26,58,2,306,27,21,1,1,0,300,7,77,7,23,37,0,96,83,17,63,13,94,69,68,0,4,19,13,0,79,0
"B3GNT5",0,10,29,0,131,1,2,50,613,41,311,109,2,45,42,38,0,51,4,26,56,16,6,1,58,21,515,119,66,15,21,6,26,60,11,40,66,21,1,422,0
"MAP3K19",0,0,28,0,4,0,0,1,2,4,43,0,3,45,0,9,0,15,0,0,44,0,0,0,8,1,72,4,38,11,18,0,4,92,20,0,5,28,0,8,0
"C14orf177",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,8,0,9,6,5,0,0,25,0,0,0,5,0,0,26
"LMNB2",2,6,46,3,378,2,0,4,898,87,162,455,2,1794,621,608,47,1280,1,49,25,33,60,119,796,21,363,422,53,105,40,99,1381,57,4,57,257,51,1,308,32
"RMDN1",0,3,28,10,398,14,0,2,618,237,78,164,5,460,92,414,2,308,14,75,51,18,8,21,55,28,506,404,76,64,21,82,63,74,2,52,499,23,0,414,0
"MEX3C",1,16,24,5,242,4,27,59,544,191,122,297,9,275,103,162,22,313,14,46,34,17,5,79,179,32,335,438,108,74,56,25,178,61,7,30,207,57,0,223,10
"HORMAD2",0,0,20,2,4,0,0,18,0,0,19,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,7,1,4,0,6,80,0,0,0,4,0,0,0
"RNF152",0,10,23,0,265,3,0,31,516,240,251,0,18,967,62,146,14,754,5,37,51,0,24,13,46,41,129,149,130,29,53,2,196,69,4,16,83,59,0,47,26
"MYO1D",2,8,40,1,236,7,1,51,413,84,212,43,3,613,277,764,25,401,15,35,44,63,3,6,108,47,1141,1446,86,82,22,617,56,147,27,62,1604,24,0,1053,21
"C20orf197",0,0,6,0,5,0,0,0,4,4,7,0,0,0,2,33,0,33,0,0,26,0,2,0,0,6,20,6,17,1,3,0,1,22,0,0,0,9,0,0,0
"FOXL1",0,0,18,0,37,0,0,1,111,1,37,9,0,6,10,70,0,21,3,80,6,0,4,0,3,0,15,4,12,30,5,0,4,18,0,0,0,18,0,8,0
"TGIF2LY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC37A",0,0,6,0,36,0,0,0,79,43,9,36,0,63,15,104,0,134,0,5,7,6,0,0,10,13,63,35,4,0,17,14,16,24,0,6,49,17,0,48,0
"FOXC2",0,1,16,1,20,0,0,1,11,0,12,0,0,4,17,33,0,2,0,6,0,0,0,0,24,1,0,5,2,0,4,0,4,0,0,0,1,4,0,0,0
"OR4F17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0
"BDNF",0,0,37,4,42,2,0,30,102,23,37,0,6,54,12,174,0,187,0,28,18,0,0,0,34,32,87,25,18,37,45,22,14,19,8,0,349,45,3,42,0
"CCDC121",0,0,16,0,31,0,0,0,15,14,37,0,0,38,32,43,0,10,6,21,8,0,0,1,6,4,76,40,17,1,11,10,0,38,4,3,34,11,0,24,0
"ACSF3",1,5,90,5,563,7,0,18,455,424,210,305,31,264,139,445,92,288,17,67,24,183,8,14,102,28,590,660,39,211,23,226,75,101,2,97,494,37,0,525,13
"BOK",0,1,5,1,70,2,0,6,106,188,38,468,0,18,10,198,27,179,0,29,14,5,14,1,6,6,31,249,13,6,2,8,136,39,5,4,11,10,0,6,0
"ZNF843",0,0,14,0,15,0,0,0,39,20,13,20,0,10,16,3,0,1,0,12,7,8,0,0,15,0,29,5,14,21,3,16,24,18,0,0,27,3,0,13,10
"C8orf59",0,4,0,0,70,1,0,1,186,67,57,47,0,103,55,95,1,30,13,2,9,1,0,1,17,15,163,185,40,12,15,9,47,34,19,14,80,17,0,139,8
"PFN4",0,0,5,0,25,0,0,3,12,20,22,20,6,37,1,21,0,26,0,1,13,14,0,0,0,0,20,3,11,2,0,0,1,0,0,2,16,0,0,14,9
"OR51V1",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,12,20,0,11,4,2,0,0,0,20,0,0,2,0,0,0
"MAGEB6",0,0,0,6,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,11,0,0,0,0,0,4,0,1,0,0,0,0
"CDK5R1",0,1,5,0,14,0,0,0,28,8,30,18,3,75,21,18,4,51,0,1,22,15,0,2,4,2,106,70,8,45,24,30,27,14,0,0,39,24,0,89,0
"C15orf56",0,0,3,0,18,0,0,21,0,0,23,40,0,0,0,4,0,2,0,0,6,22,0,0,0,4,32,3,8,0,8,0,6,15,0,0,18,8,0,30,0
"TCERG1L",0,0,10,0,0,0,0,1,0,0,9,1,4,0,0,6,0,0,2,5,33,4,0,0,0,6,22,0,13,7,16,0,0,47,12,0,0,16,0,0,0
"NCKAP5",0,0,74,1,171,0,0,0,44,40,128,16,6,165,15,119,0,215,1,8,26,0,0,23,34,31,108,30,36,7,16,30,2,38,32,0,74,16,0,20,0
"MAGEB18",0,0,20,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,5,12,1,0,0,0,2,0,2,0,3,0,0,16,0,0,0,3,0,0,0
"DEFB104A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUFY1",0,8,39,1,713,15,1,19,287,397,77,142,9,678,194,396,22,591,18,118,43,91,0,23,62,37,367,563,37,140,54,77,61,97,15,38,370,70,4,321,9
"OR52E2",0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,0,0,0,0,0,9,0,14,0,0,18,0,0,0,14,0,0,0
"BASP1",0,18,20,11,522,7,0,14,502,93,183,7,2,37,892,275,52,218,10,33,5,0,0,0,388,29,66,7,40,214,8,12,29,39,3,19,83,15,1,22,1
"DEFB103A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR51L1",0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,14,0,0,0,0,20,5,0,4,0,4,0,0,4,0,0,0,4,0,0,0
